player_name,player_link,player_type,cost_lakhs,cost_dollars,born_date,player_age,batting_style,bowling_style,playing_role
Suryakumar Yadav,https://www.espncricinfo.com/ci/content/player/446507.html,Not available,800,975,"September 14, 1990, Mumbai, Maharashtra",32y 248d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Jofra Archer,https://www.espncricinfo.com/ci/content/player/669855.html,Not available,800,975,"April 01, 1995, Bridgetown, Barbados",28y 49d,Right hand Bat,Right arm Fast,Bowler
Dewald Brevis,https://www.espncricinfo.com/ci/content/player/1070665.html,Not available,300,365,"April 29, 2003, Johannesburg",20y 21d,Right hand Bat,Legbreak,Batting Allrounder
Tilak Varma,https://www.espncricinfo.com/ci/content/player/1170265.html,Not available,170,207,"November 08, 2002, Hyderabad, Andhra Pradesh",20y 193d,Left hand Bat,Right arm Offbreak,Batting Allrounder
Jhye Richardson,https://www.espncricinfo.com/ci/content/player/774223.html,Not available,150,182,"September 20, 1996, Murdoch, Western Australia",26y 242d,Right hand Bat,Right arm Fast,Bowler
Jason Behrendorff,https://www.espncricinfo.com/ci/content/player/272477.html,Not available,75,91,"April 20, 1990, Camden, New South Wales",33y 30d,Right hand Bat,Left arm Fast medium,Bowler
Piyush Chawla,https://www.espncricinfo.com/ci/content/player/32966.html,Not available,50,60,"December 24, 1988, Aligarh, Uttar Pradesh",34y 147d,Left hand Bat,Legbreak,Bowling Allrounder
Arjun Tendulkar,https://www.espncricinfo.com/ci/content/player/1148776.html,Not available,30,36,"September 24, 1999, Mumbai",23y 238d,Left hand Bat,Left arm Medium fast,Bowler
Ramandeep Singh,https://www.espncricinfo.com/ci/content/player/1079470.html,Not available,20,24,"April 13, 1997, Chandigarh",26y 37d,Right hand Bat,Right arm Medium,Middle order Batter
Shams Mulani,https://www.espncricinfo.com/ci/content/player/1131607.html,Not available,20,24,"March 13, 1997, Raigad, Maharashtra",26y 68d,Left hand Bat,Slow Left arm Orthodox,Allrounder
Nehal Wadhera,https://www.espncricinfo.com/ci/content/player/1151273.html,Not available,20,24,"September 04, 2000, Ludhiana, Punjab",22y 258d,Left hand Bat,Legbreak,Top order Batter
Kumar Kartikeya,https://www.espncricinfo.com/ci/content/player/1159843.html,Not available,20,24,"December 26, 1997, Kuwasi, Sultanpur, Uttar Pradesh",25y 145d,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler
Hrithik Shokeen,https://www.espncricinfo.com/ci/content/player/1175423.html,Not available,20,24,"August 14, 2000, Delhi",22y 279d,Right hand Bat,Right arm Offbreak,Bowler
Akash Madhwal,https://www.espncricinfo.com/ci/content/player/1206039.html,Not available,20,24,"November 25, 1993, Roorkee",29y 176d,Right hand Bat,Right arm Medium fast,Bowler
Arshad Khan,https://www.espncricinfo.com/ci/content/player/1244751.html,Not available,20,24,"December 20, 1997, Gopalganj (Seoni)",25y 151d,Left hand Bat,Left arm Medium,Bowler
Raghav Goyal,https://www.espncricinfo.com/ci/content/player/1350770.html,Not available,20,24,"January 26, 2001",22y 114d,Left hand Bat,Left arm Wrist spin,Bowler
Duan Jansen,https://www.espncricinfo.com/ci/content/player/595954.html,Not available,20,24,"May 01, 2000",23y 19d,Right hand Bat,Left arm Fast,Bowler
Tristan Stubbs,https://www.espncricinfo.com/ci/content/player/595978.html,Not available,20,24,"August 14, 2000",22y 279d,Right hand Bat,Right arm Offbreak,Wicketkeeper
Vishnu Vinod,https://www.espncricinfo.com/ci/content/player/732293.html,Not available,20,24,"December 02, 1993, Pathanamthitta, Kerala",29y 169d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Harry Brook,https://www.espncricinfo.com/ci/content/player/911707.html,Not available,1325,1615,"February 22, 1999, Keighley, Yorkshire",24y 87d,Right hand Bat,Right arm Medium,Batter
Washington Sundar,https://www.espncricinfo.com/ci/content/player/719715.html,Not available,875,1067,"October 05, 1999, Chennai, Tamil Nadu",23y 227d,Left hand Bat,Right arm Offbreak,Bowling Allrounder
Rahul Tripathi,https://www.espncricinfo.com/ci/content/player/446763.html,Not available,850,1036,"March 02, 1991, Ranchi",32y 79d,Right hand Bat,Right arm Medium,Top order Batter
Mayank Agarwal,https://www.espncricinfo.com/ci/content/player/398438.html,Not available,825,1006,"February 16, 1991, Bangalore, Karnataka",32y 93d,Right hand Bat,Right arm Offbreak,Batter
Abhishek Sharma,https://www.espncricinfo.com/ci/content/player/1070183.html,Not available,650,792,"September 04, 2000, Amritsar, Punjab",22y 258d,Left hand Bat,Slow Left arm Orthodox,Allrounder
Heinrich Klaasen,https://www.espncricinfo.com/ci/content/player/436757.html,Not available,525,640,"July 30, 1991, Pretoria, Transvaal",31y 294d,Right hand Bat,Right arm Offbreak,Wicketkeeper
Bhuvneshwar Kumar,https://www.espncricinfo.com/ci/content/player/326016.html,Not available,420,512,"February 05, 1990, Meerut, Uttar Pradesh",33y 104d,Right hand Bat,Right arm Medium,Bowler
Marco Jansen,https://www.espncricinfo.com/ci/content/player/696401.html,Not available,420,512,"May 01, 2000",23y 19d,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Kartik Tyagi,https://www.espncricinfo.com/ci/content/player/1122918.html,Not available,400,487,"November 08, 2000, Hapur, Uttar Pradesh",22y 193d,Right hand Bat,Right arm Fast,Bowler
Abdul Samad,https://www.espncricinfo.com/ci/content/player/1175485.html,Not available,400,487,"October 28, 2001, Kala Kot, Jammu & Kashmir",21y 204d,Right hand Bat,Legbreak,Batter
Umran Malik,https://www.espncricinfo.com/ci/content/player/1246528.html,Not available,400,487,"November 22, 1999, Gujjar Nagar, Jammu & Kashmir",23y 179d,Right hand Bat,Right arm Fast,Bowler
T Natarajan,https://www.espncricinfo.com/ci/content/player/802575.html,Not available,400,487,"April 04, 1991, Salem",32y 46d,Left hand Bat,Left arm Medium,Bowler
Vivrant Sharma,https://www.espncricinfo.com/ci/content/player/1252370.html,Not available,260,317,"October 30, 1999, Jammu, India",23y 202d,Left hand Bat,Legbreak Googly,Allrounder
Aiden Markram,https://www.espncricinfo.com/ci/content/player/600498.html,Not available,260,317,"October 04, 1994, Centurion",28y 228d,Right hand Bat,Right arm Offbreak,Opening Batter
Adil Rashid,https://www.espncricinfo.com/ci/content/player/244497.html,Not available,200,243,"February 17, 1988, Bradford, Yorkshire",35y 92d,"Dilly, Hoover",Right hand Bat,Legbreak
Mayank Dagar,https://www.espncricinfo.com/ci/content/player/942367.html,Not available,180,219,"November 11, 1996, Delhi",26y 190d,Right hand Bat,Slow Left arm Orthodox,Bowler
Glenn Phillips,https://www.espncricinfo.com/ci/content/player/823509.html,Not available,150,182,"December 06, 1996, East London, Eastern Cape, South Africa",26y 165d,Right hand Bat,Right arm Offbreak,Wicketkeeper
Akeal Hosein,https://www.espncricinfo.com/ci/content/player/530812.html,Not available,100,121,"April 25, 1993, Port-of-Spain",30y 25d,Left hand Bat,Slow Left arm Orthodox,Bowler
Mayank Markande,https://www.espncricinfo.com/ci/content/player/1081442.html,Not available,50,60,"November 11, 1997, Bathinda, Punjab",25y 190d,Right hand Bat,Legbreak,Bowler
Fazalhaq Farooqi,https://www.espncricinfo.com/ci/content/player/974175.html,Not available,50,60,"September 22, 2000, Baghlan",22y 240d,Right hand Bat,Left arm Fast medium,Bowler
Upendra Yadav,https://www.espncricinfo.com/ci/content/player/732269.html,Not available,25,30,"October 08, 1996, Kanpur, Uttar Pradesh",26y 224d,Right hand Bat,Right arm Offbreak,Wicketkeeper
Sanvir Singh,https://www.espncricinfo.com/ci/content/player/1132219.html,Not available,20,24,"October 12, 1996, Ludhiana, Punjab",26y 220d,Right hand Bat,Right arm Medium,Allrounder
Nitish Kumar Reddy,https://www.espncricinfo.com/ci/content/player/1175496.html,Not available,20,24,"May 26, 2003, Visakhapatnam, Andhra Pradesh",19y 359d,Right hand Bat,Right arm Medium fast,Batting Allrounder
Anmolpreet Singh,https://www.espncricinfo.com/ci/content/player/851261.html,Not available,20,24,"March 28, 1998, Patiala, Punjab",25y 53d,Right hand Bat,Right arm Offbreak,Batter
Samarth Vyas,https://www.espncricinfo.com/ci/content/player/853859.html,Not available,20,24,"November 28, 1995, Rajkot, Saurashtra",27y 173d,Right hand Bat,Legbreak Googly,Allrounder
KL Rahul,https://www.espncricinfo.com/ci/content/player/422108.html,Not available,1700,2073,"April 18, 1992, Bangalore, Karnataka",31y 32d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Nicholas Pooran,https://www.espncricinfo.com/ci/content/player/604302.html,Not available,1600,1951,"October 02, 1995, Trinidad",27y 230d,Left hand Bat,Right arm Offbreak,Wicketkeeper
Marcus Stoinis,https://www.espncricinfo.com/ci/content/player/325012.html,Not available,1000,1219,"August 16, 1989, Perth",33y 277d,Right hand Bat,Right arm Medium,Batting Allrounder
Avesh Khan,https://www.espncricinfo.com/ci/content/player/694211.html,Not available,1000,1219,"December 13, 1996, Indore, Madhya Pradesh",26y 158d,Avesh Khan,Right hand Bat,Right arm Fast medium
Krunal Pandya,https://www.espncricinfo.com/ci/content/player/471342.html,Not available,825,1006,"March 24, 1991, Ahmedabad, Gujarat",32y 57d,Left hand Bat,Slow Left arm Orthodox,Allrounder
Mark Wood,https://www.espncricinfo.com/ci/content/player/351588.html,Not available,750,914,"January 11, 1990, Ashington, Northumberland",33y 129d,Right hand Bat,Right arm Fast,Bowler
Quinton de Kock,https://www.espncricinfo.com/ci/content/player/379143.html,Not available,675,823,"December 17, 1992, Johannesburg, Gauteng",30y 154d,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Deepak Hooda,https://www.espncricinfo.com/ci/content/player/497121.html,Not available,575,701,"April 19, 1995, Rohtak",28y 31d,Right hand Bat,Right arm Offbreak,Allrounder
Ravi Bishnoi,https://www.espncricinfo.com/ci/content/player/1175441.html,Not available,400,487,"September 05, 2000, Jodhpur, Rajasthan",22y 257d,Right hand Bat,Legbreak Googly,Bowler
Krishnappa Gowtham,https://www.espncricinfo.com/ci/content/player/424377.html,Not available,90,109,"October 20, 1988, Bangalore, Karnataka",34y 212d,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Daniel Sams,https://www.espncricinfo.com/ci/content/player/826901.html,Not available,75,91,"October 27, 1992, Milperra, New South Wales",30y 205d,Right hand Bat,Left arm Fast medium,Allrounder
Amit Mishra,https://www.espncricinfo.com/ci/content/player/31107.html,Not available,50,60,"November 24, 1982, Delhi",40y 177d,Right hand Bat,Legbreak,Bowler
Kyle Mayers,https://www.espncricinfo.com/ci/content/player/348056.html,Not available,50,60,"September 08, 1992, Barbados",30y 254d,Left hand Bat,Right arm Medium,Batting Allrounder
Jaydev Unadkat,https://www.espncricinfo.com/ci/content/player/390484.html,Not available,50,60,"October 18, 1991, Porbandar",31y 214d,Right hand Bat,Left arm Medium,Bowler
Romario Shepherd,https://www.espncricinfo.com/ci/content/player/677077.html,Not available,50,60,"November 26, 1994, Guyana",28y 175d,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Naveen-ul-Haq,https://www.espncricinfo.com/ci/content/player/793447.html,Not available,50,60,"September 23, 1999, Kabul",23y 239d,Right hand Bat,Right arm Medium fast,Bowler
Yash Thakur,https://www.espncricinfo.com/ci/content/player/1070196.html,Not available,45,54,"December 28, 1998, Kolkata",24y 143d,Right hand Bat,Right arm Fast medium,Bowler
Mohsin Khan,https://www.espncricinfo.com/ci/content/player/1132005.html,Not available,20,24,"July 15, 1998, Sambhal, Uttar Pradesh",24y 309d,Left hand Bat,Left arm Medium fast,Bowler
Ayush Badoni,https://www.espncricinfo.com/ci/content/player/1151270.html,Not available,20,24,"December 03, 1999, Delhi",23y 168d,Right hand Bat,Right arm Offbreak,Batter
Yudhvir Charak,https://www.espncricinfo.com/ci/content/player/1206052.html,Not available,20,24,"September 13, 1997, Jammu",25y 249d,Right hand Bat,Right arm Medium fast,Bowler
Karan Sharma,https://www.espncricinfo.com/ci/content/player/1246518.html,Not available,20,24,"October 31, 1998, Delhi",24y 201d,Right hand Bat,Right arm Offbreak,Allrounder
Mayank Yadav,https://www.espncricinfo.com/ci/content/player/1292563.html,Not available,20,24,"June 17, 2002, New Delhi",20y 337d,Right hand Bat,Right arm Medium fast,Bowler
Swapnil Singh,https://www.espncricinfo.com/ci/content/player/232292.html,Not available,20,24,"January 22, 1991, Rae Bareilly, Uttar Pradesh",32y 118d,Right hand Bat,Slow Left arm Orthodox,Bowler
Manan Vohra,https://www.espncricinfo.com/ci/content/player/532856.html,Not available,20,24,"July 18, 1993, Chandigarh, Punjab",29y 306d,Right hand Bat,Right arm Medium,Opening Batter
Prerak Mankad,https://www.espncricinfo.com/ci/content/player/956871.html,Not available,20,24,"April 23, 1994, Sirohi, Saurashtra",29y 27d,Right hand Bat,Right arm Medium,Allrounder
Hardik Pandya,https://www.espncricinfo.com/ci/content/player/625371.html,Not available,1500,1829,"October 11, 1993, Choryasi, Gujarat",29y 221d,Right hand Bat,Right arm Medium fast,Allrounder
Rashid Khan,https://www.espncricinfo.com/ci/content/player/793463.html,Not available,1500,1829,"September 20, 1998, Nangarhar",24y 242d,Right hand Bat,Legbreak Googly,Bowling Allrounder
Rahul Tewatia,https://www.espncricinfo.com/ci/content/player/423838.html,Not available,900,1097,"May 20, 1993, Sihi, Haryana",30y,Left hand Bat,Legbreak,Bowling Allrounder
Shubman Gill,https://www.espncricinfo.com/ci/content/player/1070173.html,Not available,800,975,"September 08, 1999, Fazilka, Punjab",23y 254d,Right hand Bat,Right arm Offbreak,Opening Batter
Mohammed Shami,https://www.espncricinfo.com/ci/content/player/481896.html,Not available,625,762,"September 03, 1990, Amroha, Uttar Pradesh",32y 259d,Right hand Bat,Right arm Fast,Bowler
Shivam Mavi,https://www.espncricinfo.com/ci/content/player/1079848.html,Not available,600,731,"November 26, 1998, Noida, Uttar Pradesh",24y 175d,Right hand Bat,Right arm Fast medium,Bowler
Joshua Little,https://www.espncricinfo.com/ci/content/player/928067.html,Not available,440,536,"November 01, 1999, Dublin",23y 200d,Right hand Bat,Left arm Fast medium,Bowler
Yash Dayal,https://www.espncricinfo.com/ci/content/player/1159720.html,Not available,320,390,"December 13, 1997, Allahabad, Uttar Pradesh",25y 158d,Right hand Bat,Left arm Medium fast,Bowler
R Sai Kishore,https://www.espncricinfo.com/ci/content/player/1048739.html,Not available,300,365,"November 06, 1996, Chennai, Tamil Nadu",26y 195d,Left hand Bat,Slow Left arm Orthodox,Bowler
David Miller,https://www.espncricinfo.com/ci/content/player/321777.html,Not available,300,365,"June 10, 1989, Pietermaritzburg, Natal",33y 344d,Left hand Bat,Right arm Offbreak,Middle order Batter
Abhinav Manohar,https://www.espncricinfo.com/ci/content/player/778963.html,Not available,260,317,"September 16, 1994, Bangalore, Karnataka",28y 246d,Right hand Bat,Legbreak Googly,Batting Allrounder
Matthew Wade,https://www.espncricinfo.com/ci/content/player/230193.html,Not available,240,292,"December 26, 1987, Hobart, Tasmania",35y 145d,Wadey,Left hand Bat,Right arm Medium
Alzarri Joseph,https://www.espncricinfo.com/ci/content/player/670031.html,Not available,240,292,"November 20, 1996, Antigua",26y 181d,Right hand Bat,Right arm Fast,Bowler
Kane Williamson,https://www.espncricinfo.com/ci/content/player/277906.html,Not available,200,243,"August 08, 1990, Tauranga",32y 285d,Right hand Bat,Right arm Offbreak,Top order Batter
Wriddhiman Saha,https://www.espncricinfo.com/ci/content/player/279810.html,Not available,190,231,"October 24, 1984, Shaktigarh, Siliguri, Bengal, India",38y 208d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Jayant Yadav,https://www.espncricinfo.com/ci/content/player/447587.html,Not available,170,207,"January 22, 1990, Delhi",33y 118d,Jayant Yadav,Right hand Bat,Right arm Offbreak
Vijay Shankar,https://www.espncricinfo.com/ci/content/player/477021.html,Not available,140,170,"January 26, 1991, Tirunelveli, Tamil Nadu",32y 114d,Right hand Bat,Right arm Medium,Allrounder
Srikar Bharat,https://www.espncricinfo.com/ci/content/player/529436.html,Not available,120,146,"October 03, 1993, Visakhapatnam, Andhra Pradesh",29y 229d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Mohit Sharma,https://www.espncricinfo.com/ci/content/player/537119.html,Not available,50,60,"September 18, 1988, Ballabhgarh, Haryana",34y 244d,Right hand Bat,Right arm Medium,Bowler
Odean Smith,https://www.espncricinfo.com/ci/content/player/820691.html,Not available,50,60,"November 01, 1996, St. Elizabeth, Jamaica",26y 200d,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Noor Ahmad,https://www.espncricinfo.com/ci/content/player/1182529.html,Not available,30,36,"January 03, 2005",18y 137d,Right hand Bat,Left arm Wrist spin,Bowler
Darshan Nalkande,https://www.espncricinfo.com/ci/content/player/1111917.html,Not available,20,24,"October 04, 1998, Wardha, Maharashtra",24y 228d,Right hand Bat,Right arm Fast medium,Bowler
Urvil Patel,https://www.espncricinfo.com/ci/content/player/1131570.html,Not available,20,24,"October 17, 1998, Mehsana, Baroda",24y 215d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Sai Sudharsan,https://www.espncricinfo.com/ci/content/player/1151288.html,Not available,20,24,"October 15, 2001, Chennai",21y 217d,Left hand Bat,Legbreak,Top order Batter
Pradeep Sangwan,https://www.espncricinfo.com/ci/content/player/279545.html,Not available,20,24,"November 05, 1990, Rasiwas, Delhi",32y 196d,Right hand Bat,Left arm Medium,Bowler
