player_name,player_link,player_type,cost_lakhs,cost_dollars,born_date,player_age,batting_style,bowling_style,playing_role
Tim Southee,https://www.espncricinfo.com/ci/content/player/232364.html,Not available,150,182,"December 11, 1988, Whangarei, Northland",34y 160d,Right hand Bat,Right arm Medium fast,Bowler
Shakib Al Hasan,https://www.espncricinfo.com/ci/content/player/56143.html,Not available,150,182,"March 24, 1987, Magura, Jessore",36y 57d,Saqibul Hasan,Left hand Bat,Slow Left arm Orthodox
David Wiese,https://www.espncricinfo.com/ci/content/player/221140.html,Not available,100,121,"May 18, 1985, Roodepoort",38y 2d,Right hand Bat,Right arm Medium fast,Allrounder
Narayan Jagadeesan,https://www.espncricinfo.com/ci/content/player/1048813.html,Not available,90,109,"December 24, 1995, Coimbatore, Tamil Nadu",27y 147d,Right hand Bat,Wicketkeeper,Opening Batter
Vaibhav Arora,https://www.espncricinfo.com/ci/content/player/1209292.html,Not available,60,73,"December 14, 1997",25y 157d,Right hand Bat,Right arm Fast medium,Bowler
Rinku Singh,https://www.espncricinfo.com/ci/content/player/723105.html,Not available,55,67,"October 12, 1997, Aligarh, Uttar Pradesh",25y 220d,Left hand Bat,Right arm Offbreak,Middle order Batter
Mandeep Singh,https://www.espncricinfo.com/ci/content/player/398506.html,Not available,50,60,"December 18, 1991, Jalandhar, Punjab",31y 153d,Right hand Bat,Right arm Medium,Allrounder
Litton Das,https://www.espncricinfo.com/ci/content/player/536936.html,Not available,50,60,"October 13, 1994, Dinajpur",28y 219d,Right hand Bat,Right arm Offbreak,Wicketkeeper
Rahmanullah Gurbaz,https://www.espncricinfo.com/ci/content/player/974087.html,Not available,50,60,"November 28, 2001",21y 173d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Anukul Roy,https://www.espncricinfo.com/ci/content/player/1079839.html,Not available,20,24,"November 30, 1998, Saraikela Kharswan, Jharkhand",24y 171d,Left hand Bat,Slow Left arm Orthodox,Allrounder
Kulwant Khejroliya,https://www.espncricinfo.com/ci/content/player/1083033.html,Not available,20,24,"March 13, 1992, Churi Ajitgarh Jhunjhunu District, Rajasthan",31y 68d,Left hand Bat,Left arm Medium fast,Bowler
Harshit Rana,https://www.espncricinfo.com/ci/content/player/1312645.html,Not available,20,24,"December 22, 2001, New Delhi",21y 149d,Right hand Bat,Right arm Medium fast,Bowler
Suyash Sharma,https://www.espncricinfo.com/ci/content/player/1350792.html,Not available,20,24,"May 15, 2003",20y 5d,Right hand Bat,Legbreak Googly,Bowler
Sam Curran,https://www.espncricinfo.com/ci/content/player/662973.html,Not available,1850,2256,"June 03, 1998, Northampton",24y 351d,Left hand Bat,Left arm Medium fast,Allrounder
Liam Livingstone,https://www.espncricinfo.com/ci/content/player/403902.html,Not available,1150,1402,"August 04, 1993, Barrow-in-Furness, Cumberland",29y 289d,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Kagiso Rabada,https://www.espncricinfo.com/ci/content/player/550215.html,Not available,925,1128,"May 25, 1995, Johannesburg",27y 360d,Left hand Bat,Right arm Fast,Bowler
Shahrukh Khan,https://www.espncricinfo.com/ci/content/player/719719.html,Not available,900,1097,"May 27, 1995, Chennai, Tamil Nadu",27y 358d,Right hand Bat,Right arm Offbreak,Batter
Shikhar Dhawan,https://www.espncricinfo.com/ci/content/player/28235.html,Not available,825,1006,"December 05, 1985, Delhi",37y 166d,Left hand Bat,Right arm Offbreak,Opening Batter
Jonny Bairstow,https://www.espncricinfo.com/ci/content/player/297433.html,Not available,675,823,"September 26, 1989, Bradford, Yorkshire",33y 236d,Bluey,Right hand Bat,Right arm Medium
Rahul Chahar,https://www.espncricinfo.com/ci/content/player/1064812.html,Not available,525,640,"August 04, 1999, Bharaatpur, Rajasthan",23y 289d,Right hand Bat,Legbreak Googly,Bowler
Arshdeep Singh,https://www.espncricinfo.com/ci/content/player/1125976.html,Not available,400,487,"February 05, 1999, Guna, Madhya Pradesh",24y 104d,Left hand Bat,Left arm Medium fast,Bowler
Harpreet Brar,https://www.espncricinfo.com/ci/content/player/1168641.html,Not available,380,463,"September 16, 1995, Meerut, Uttar Pradesh",27y 246d,Left hand Bat,Slow Left arm Orthodox,Bowler
Raj Angad Bawa,https://www.espncricinfo.com/ci/content/player/1292502.html,Not available,200,243,"November 12, 2002, Nahan, Himachal Pradesh",20y 189d,Left hand Bat,Right arm Medium fast,Allrounder
Nathan Ellis,https://www.espncricinfo.com/ci/content/player/826915.html,Not available,75,91,"September 22, 1994, Greenacre, New South Wales",28y 240d,Right hand Bat,Right arm Fast medium,Bowler
Prabhsimran Singh,https://www.espncricinfo.com/ci/content/player/1161024.html,Not available,60,73,"August 10, 2000",22y 283d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Rishi Dhawan,https://www.espncricinfo.com/ci/content/player/290727.html,Not available,55,67,"February 19, 1990, Mandi, Himachal Pradesh",33y 90d,Right hand Bat,Right arm Medium fast,Allrounder
Sikandar Raza,https://www.espncricinfo.com/ci/content/player/299572.html,Not available,50,60,"April 24, 1986, Sialkot, Punjab, Pakistan",37y 26d,Right hand Bat,Right arm Offbreak,Batting Allrounder
Bhanuka Rajapaksa,https://www.espncricinfo.com/ci/content/player/342619.html,Not available,50,60,"October 24, 1991, Colombo",31y 208d,Left hand Bat,Right arm Medium,Top order Batter
Harpreet Bhatia,https://www.espncricinfo.com/ci/content/player/340854.html,Not available,40,48,"August 11, 1991, Durg, Madhya Pradesh",31y 282d,Left hand Bat,Right arm Medium,Batter
Atharva Taide,https://www.espncricinfo.com/ci/content/player/1125958.html,Not available,20,24,"April 26, 2000, Akola Maharashtra",23y 24d,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Vidwath Kaverappa,https://www.espncricinfo.com/ci/content/player/1155262.html,Not available,20,24,"February 25, 1999",24y 84d,Right hand Bat,Right arm Fast medium,Bowler
Shivam Singh,https://www.espncricinfo.com/ci/content/player/1273859.html,Not available,20,24,"November 25, 1995",27y 176d,Right hand Bat,Right arm Offbreak,Middle order Batter
Mohit Rathee,https://www.espncricinfo.com/ci/content/player/1349361.html,Not available,20,24,"January 13, 1999, Rohak, Haryana",24y 127d,Right hand Bat,Legbreak,Allrounder
Baltej Singh,https://www.espncricinfo.com/ci/content/player/527292.html,Not available,20,24,"November 04, 1990, Ludhiana, Punjab",32y 197d,Right hand Bat,Right arm Medium,Bowler
Jitesh Sharma,https://www.espncricinfo.com/ci/content/player/721867.html,Not available,20,24,"October 22, 1993, Amrawati, Maharashtra",29y 210d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Ben Stokes,https://www.espncricinfo.com/ci/content/player/311158.html,Not available,1625,1981,"June 04, 1991, Christchurch, Canterbury, New Zealand",31y 350d,Left hand Bat,Right arm Fast medium,Allrounder
Ravindra Jadeja,https://www.espncricinfo.com/ci/content/player/234675.html,Not available,1600,1951,"December 06, 1988, Navagam-Khed, Saurashtra",34y 165d,Left hand Bat,Slow Left arm Orthodox,Allrounder
Deepak Chahar,https://www.espncricinfo.com/ci/content/player/447261.html,Not available,1400,1707,"August 07, 1992, Agra, Uttar Pradesh",30y 286d,Deepak Chahar,Right hand Bat,Right arm Medium
MS Dhoni,https://www.espncricinfo.com/ci/content/player/28081.html,Not available,1200,1463,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",41y 317d,Mahi,Right hand Bat,Right arm Medium
Moeen Ali,https://www.espncricinfo.com/ci/content/player/8917.html,Not available,800,975,"June 18, 1987, Birmingham",35y 336d,Moe,Left hand Bat,Right arm Offbreak
Ambati Rayudu,https://www.espncricinfo.com/ci/content/player/33141.html,Not available,675,823,"September 23, 1985, Guntur, Andhra Pradesh",37y 239d,Right hand Bat,Right arm Offbreak,Occasional Wicketkeeper
Ruturaj Gaikwad,https://www.espncricinfo.com/ci/content/player/1060380.html,Not available,600,731,"January 31, 1997, Pune, Maharashtra",26y 109d,Right hand Bat,Right arm Offbreak,Batter
Shivam Dube,https://www.espncricinfo.com/ci/content/player/714451.html,Not available,400,487,"June 26, 1993, Mumbai",29y 328d,Left hand Bat,Right arm Medium,Allrounder
Mitchell Santner,https://www.espncricinfo.com/ci/content/player/502714.html,Not available,190,231,"February 05, 1992, Hamilton",31y 104d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Rajvardhan Hangargekar,https://www.espncricinfo.com/ci/content/player/1175429.html,Not available,150,182,"November 10, 2002, Tuljapur, Maharashtra",20y 191d,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Prashant Solanki,https://www.espncricinfo.com/ci/content/player/1252337.html,Not available,120,146,"February 22, 2000",23y 87d,Right hand Bat,Legbreak,Bowler
Devon Conway,https://www.espncricinfo.com/ci/content/player/379140.html,Not available,100,121,"July 08, 1991, Johannesburg, Transvaal",31y 316d,Left hand Bat,Right arm Medium,Occasional Wicketkeeper
Kyle Jamieson,https://www.espncricinfo.com/ci/content/player/625960.html,Not available,100,121,"December 30, 1994, Auckland",28y 141d,Right hand Bat,Right arm Fast medium,Bowler
Maheesh Theekshana,https://www.espncricinfo.com/ci/content/player/1138316.html,Not available,70,85,"August 01, 2000, Colombo",22y 292d,Right hand Bat,Right arm Offbreak,Bowler
Nishant Sindhu,https://www.espncricinfo.com/ci/content/player/1292506.html,Not available,60,73,"April 09, 2004, Rohtak, Haryana",19y 41d,Left hand Bat,Slow Left arm Orthodox,Allrounder
Ajinkya Rahane,https://www.espncricinfo.com/ci/content/player/277916.html,Not available,50,60,"June 06, 1988, Ashwi-KD, Maharashtra",34y 348d,Right hand Bat,Right arm Medium,Top order Batter
Dwaine Pretorius,https://www.espncricinfo.com/ci/content/player/327830.html,Not available,50,60,"March 29, 1989, Randfontein",34y 52d,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Ajay Mandal,https://www.espncricinfo.com/ci/content/player/1059570.html,Not available,20,24,"February 25, 1996, Durg, Madhya Pradesh",27y 84d,Left hand Bat,Slow Left arm Orthodox,Allrounder
Subhranshu Senapati,https://www.espncricinfo.com/ci/content/player/1059577.html,Not available,20,24,"December 30, 1996, Keonijhar, Orissa",26y 141d,Right hand Bat,Right arm Medium,Top order Batter
Mukesh Choudhary,https://www.espncricinfo.com/ci/content/player/1125688.html,Not available,20,24,"July 06, 1996, Pardodas, Bhilwara, Rajsthan",26y 318d,Left hand Bat,Left arm Medium,Bowler
Simarjeet Singh,https://www.espncricinfo.com/ci/content/player/1159722.html,Not available,20,24,"January 17, 1998, Delhi",25y 123d,Right hand Bat,Right arm Medium fast,Bowler
Matheesha Pathirana,https://www.espncricinfo.com/ci/content/player/1194795.html,Not available,20,24,"December 18, 2002, Kandy",20y 153d,Right hand Bat,Right arm Fast,Bowler
Bhagath Varma,https://www.espncricinfo.com/ci/content/player/1252050.html,Not available,20,24,"September 21, 1998, Hyderabad, Andrha Pradesh",24y 241d,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Shaik Rasheed,https://www.espncricinfo.com/ci/content/player/1292497.html,Not available,20,24,"September 24, 2004, Guntur, Andhra Pradesh",18y 238d,Right hand Bat,Legbreak,Batter
Tushar Deshpande,https://www.espncricinfo.com/ci/content/player/822553.html,Not available,20,24,"May 15, 1995, Mumbai",28y 5d,Left hand Bat,Right arm Medium,Bowler
Rishabh Pant,https://www.espncricinfo.com/ci/content/player/931581.html,Not available,1600,1951,"October 04, 1997, Haridwar, Uttarakhand",25y 228d,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Axar Patel,https://www.espncricinfo.com/ci/content/player/554691.html,Not available,1200,1463,"January 20, 1994, Anand, Gujarat",29y 120d,Akshar Patel,Left hand Bat,Slow Left arm Orthodox
Prithvi Shaw,https://www.espncricinfo.com/ci/content/player/1070168.html,Not available,800,975,"November 09, 1999, Thane, Maharashtra",23y 192d,Right hand Bat,Right arm Offbreak,Opening Batter
Mitchell Marsh,https://www.espncricinfo.com/ci/content/player/272450.html,Not available,650,792,"October 20, 1991, Attadale, Perth",31y 212d,Right hand Bat,Right arm Medium,Allrounder
Anrich Nortje,https://www.espncricinfo.com/ci/content/player/481979.html,Not available,650,792,"November 16, 1993",29y 185d,Right hand Bat,Right arm Fast,Bowler
David Warner,https://www.espncricinfo.com/ci/content/player/219889.html,Not available,625,762,"October 27, 1986, Paddington, New South Wales",36y 205d,Lloyd,Left hand Bat,Legbreak
Mukesh Kumar,https://www.espncricinfo.com/ci/content/player/926851.html,Not available,550,670,"October 12, 1993, Gopalganj, Bihar",29y 220d,Right hand Bat,Right arm Medium,Bowler
Khaleel Ahmed,https://www.espncricinfo.com/ci/content/player/942645.html,Not available,525,640,"December 05, 1997, Tonk, Rajasthan",25y 166d,Right hand Bat,Left arm Medium,Bowler
Rilee Rossouw,https://www.espncricinfo.com/ci/content/player/318845.html,Not available,460,560,"October 09, 1989, Bloemfontein, Orange Free State",33y 223d,Left hand Bat,Right arm Offbreak,Top order Batter
Chetan Sakariya,https://www.espncricinfo.com/ci/content/player/1131754.html,Not available,420,512,"February 28, 1998, Bhavnagar",25y 81d,Left hand Bat,Left arm Medium fast,Bowler
Rovman Powell,https://www.espncricinfo.com/ci/content/player/820351.html,Not available,280,341,"July 23, 1993, Jamaica",29y 301d,Right hand Bat,Right arm Medium fast,Middle order Batter
Manish Pandey,https://www.espncricinfo.com/ci/content/player/290630.html,Not available,240,292,"September 10, 1989, Nainital, Uttaranchal",33y 252d,Right hand Bat,Right arm Medium,Top order Batter
Mustafizur Rahman,https://www.espncricinfo.com/ci/content/player/330902.html,Not available,200,243,"September 06, 1995, Satkhira",27y 256d,Left hand Bat,Left arm Fast medium,Bowler
